ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
FACING,,,,,,,,,,,,Team1Player7,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player8,,,,
BALL,1,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,,TRUE,CAUGHT,Team2Player6,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player8,,,
FACING,,,,,,,,,,,,Team1Player8,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player8,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,LBW,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player9,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player11,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player9,,,,
BALL,4,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,3,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team2Player11,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player10,,,
FACING,,,,,,,,,,,,Team1Player9,,
BOWLER,,,,,,,,,,Team2Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,2,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
NEXT_INNINGS,,,,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player1,,,
BATSMAN,,,,,,,,,,,Team2Player2,,,
FACING,,,,,,,,,,,,Team2Player1,,
BOWLER,,,,,,,,,,Team1Player11,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player2,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player3,,,
FACING,,,,,,,,,,,,Team2Player2,,
BOWLER,,,,,,,,,,Team1Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,4,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,BOWLED,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player4,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player11,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,BYE,,4,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player7,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player5,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player5,,,
FACING,,,,,,,,,,,,Team2Player5,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,TRUE,CAUGHT,Team1Player5,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player6,,,
FACING,,,,,,,,,,,,Team2Player6,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player4,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player10,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player7,,,
FACING,,,,,,,,,,,,Team2Player6,,
BOWLER,,,,,,,,,,Team1Player8,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team1Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
PLAYER_OF_MATCH,,,,,,,,,,,,,Team2SName,Team2Player8
COMPLETE_MATCH,,,,,,,,,,,,,,
