ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XIII,,,,,,,,,Team2Player1,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,XIV,,,,,,,,,Team2Player10,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team2Player10,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player5,,,
FACING,,,,,,,,,,,,Team1Player1,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XV,,,,,,,,,Team2Player7,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,XVI,,,,,,,,,Team2Player10,,,,
BALL,,,,,,TRUE,NO_BALL,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,BOWLED,,,,,,1,,,,,
BATSMAN,,,,,,,,,,,Team1Player6,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XVII,,,,,,,,,Team2Player8,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XVIII,,,,,,,,,Team2Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team2Player11,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player7,,,
FACING,,,,,,,,,,,,Team1Player7,,
BOWLER,XIX,,,,,,,,,Team2Player8,,,,
BALL,4,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,XX,,,,,,,,,Team2Player9,,,,
BALL,2,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
NEXT_INNINGS,,,,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player1,,,
BATSMAN,,,,,,,,,,,Team2Player2,,,
FACING,,,,,,,,,,,,Team2Player1,,
BOWLER,I,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,TRUE,CAUGHT,Team1Player3,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player3,,,
FACING,,,,,,,,,,,,Team2Player3,,
BALL,,,,,,TRUE,LEG_BYE,,2,,,,,
BOWLER,II,,,,,,,,,Team1Player10,,,,
BALL,4,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,III,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,BOWLED,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player4,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,IV,,,,,,,,,Team1Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,V,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,TRUE,NO_BALL,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,VI,,,,,,,,,Team1Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,,TRUE,RUN_OUT,Team1Player3,Team2Player2,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player5,,,
FACING,,,,,,,,,,,,Team2Player5,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,VII,,,,,,,,,Team1Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,VIII,,,,,,,,,Team1Player2,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,IX,,,,,,,,,Team1Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player2,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player6,,,
FACING,,,,,,,,,,,,Team2Player6,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,X,,,,,,,,,Team1Player7,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XI,,,,,,,,,Team1Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XII,,,,,,,,,Team1Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player6,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player7,,,
FACING,,,,,,,,,,,,Team2Player7,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player10,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player8,,,
FACING,,,,,,,,,,,,Team2Player6,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XIII,,,,,,,,,Team1Player8,,,,
BALL,2,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XIV,,,,,,,,,Team1Player7,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XV,,,,,,,,,Team1Player8,,,,
BALL,2,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,XVI,,,,,,,,,Team1Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,BOWLED,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player9,,,
BOWLER,XVII,,,,,,,,,Team1Player8,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BOWLER,XVIII,,,,,,,,,Team1Player10,,,,
BALL,6,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,0,TRUE,BOWLED,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player10,,,
BOWLER,XIX,,,,,,,,,Team1Player11,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,TRUE,BYE,,1,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,,TRUE,BOWLED,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player11,,,
BALL,4,,,,,,,,,,,,,
BOWLER,XX,,,,,,,,,Team1Player9,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,TRUE,BYE,,,,,,,
BALL,,TRUE,CAUGHT,Team1Player10,,,,,,,,,,
PLAYER_OF_MATCH,,,,,,,,,,,,,Team1SName,Team1Player7
COMPLETE_MATCH,,,,,,,,,,,,,,
